,credit_score,age,balance,estimated_salary,country,gender,tenure
7,376.0,29,11546.74,119346.88,1,1,4
15,616.0,45,143129.41,64327.26000000001,1,2,3
16,653.0,58,13262.88,597.67,1,2,1
26,756.0,36,136815.64,1741.95,1,2,2
28,574.0,42,141349.43,1187.43,1,1,3
32,553.0,41,11112.54,81898.81,1,2,9
39,582.0,41,7349.48,17874.4,1,2,6
45,776.0,32,19421.13,126517.46,1,1,4
46,829.0,27,11245.67,11978.21,1,1,9
47,637.0,39,137843.8,117622.79999999999,1,1,9
48,55.0,38,13391.38,9878.13,1,2,2
49,776.0,37,13769.22,19499.12,1,1,2
50,698.0,44,116363.36999999998,19859.16,1,2,1
51,585.0,36,1465.97,86424.57,1,2,5
53,655.0,41,125561.96999999999,1644.94,1,2,8
54,61.00000000000001,42,98495.72,414.76,1,2,1
57,725.0,19,75888.2,45613.75,1,2,4
60,742.0,35,136857.0,8459.57,1,2,5
61,687.0,27,152328.88,126494.82000000002,1,1,9
64,63.0,26,19166.37,9284.67,1,2,4
65,751.0,36,169831.46,27758.36,1,1,6
66,581.0,34,11633.4,11431.51,1,1,1
67,735.0,42,12318.1,196673.28,1,2,1
68,661.0,35,15725.53,113656.85000000002,1,1,5
70,738.0,58,133745.44,28373.86,1,2,2
73,64.0,25,15778.839999999998,58426.81,1,1,5
79,416.0,41,122189.66,9831.61,1,1,1
89,635.0,28,81623.67,156791.36,1,1,3
97,814.0,29,9786.4,197276.13,1,2,8
106,582.0,32,88938.62,154.53,1,2,1
107,785.0,36,9986.85,36976.52,1,1,2
109,479.0,35,92833.89,99449.86,1,2,9
110,685.0,26,9536.81,6382.88,1,2,3
111,538.0,39,1855.1,27231.26,1,2,7
114,721.0,28,154475.54,113.94000000000001,1,2,9
115,628.0,3,132351.29,74169.13,1,1,9
116,668.0,37,167864.4,115638.29,1,1,6
118,524.0,31,17818.63,199725.39,1,1,8
119,699.0,34,185173.81,12834.48,1,2,4
123,684.0,48,126384.42,198129.36,1,1,1
127,625.0,56,14857.24,46824.8,1,2,4
131,795.0,33,13862.43,114935.20999999999,1,1,9
134,789.0,39,124828.45999999999,124411.8,1,2,7
135,589.0,5,144895.5,34941.23,1,1,5
136,460.99999999999994,34,63663.93,167784.28,1,1,5
140,756.0,44,137452.9,189543.9,1,2,1
159,631.0,33,123246.7,112687.56999999999,1,1,4
165,66.0,31,125189.74999999999,139874.43,1,2,9
166,74.0,24,11334.22,16253.48,1,1,7
169,682.0,24,57929.810000000005,53134.3,1,2,9
171,628.0,27,95826.49,155996.96,1,2,5
172,48.0,44,12968.57,5472.7,1,2,1
177,66.0,36,19479.48,179351.89,1,2,5
179,754.0,55,16168.81,88.85,1,1,3
182,778.0,45,16215.42,174531.27,1,1,1
189,687.0,34,111388.18,148564.76,1,1,7
197,721.0,37,1772.64,158591.12,1,2,3
210,689.0,33,161814.64,169381.9,1,2,2
214,572.0,26,118287.10000000002,6427.3,1,2,4
215,668.0,47,16854.21,157959.2,1,2,7
224,671.0,45,99564.22,18872.45,1,2,6
227,547.0,39,74596.15,85746.52,1,1,6
228,751.0,5,96888.39,7726.25,1,2,2
229,594.0,29,1383.22,6148.53,1,1,3
233,767.0,2,119714.24999999999,15135.379999999997,1,2,3
235,763.0,42,116.75000000000001,33462.94,1,2,6
237,539.0,42,11622.5,5583.96,1,1,3
241,725.0,39,11683.8,12452.97,1,1,5
243,659.0,67,117411.60000000002,4571.9,1,2,6
246,772.0,26,1524.51,79414.0,1,2,7
248,634.0,24,1397.85,157577.29,1,2,8
249,739.0,54,126418.14,13442.75,1,2,8
250,771.0,36,77846.9,9985.99,1,1,5
253,544.0,37,79731.91,57558.95,1,2,2
257,671.0,34,37266.67,156917.12,1,1,6
259,85.0,38,5491.1,1475.55,1,2,3
260,732.0,42,18748.8,65323.11,1,2,9
269,791.0,35,52436.2,16151.750000000002,1,1,7
271,733.0,34,1337.96,48559.19,1,2,3
272,811.0,34,149297.19,186339.74,1,1,1
274,712.0,28,14565.44,93883.53,1,2,4
282,479.0,35,138718.92,47251.79,1,2,4
290,73.0,42,63227.00000000001,137316.32,1,2,9
307,629.0,35,156847.29,31824.290000000005,1,2,7
309,438.00000000000006,31,78398.69,44937.1,1,2,8
311,729.0,3,63669.42,145111.37,1,2,6
313,86.0,59,135296.33,182822.5,1,1,4
328,671.0,35,144848.74,17912.3,1,2,1
329,664.0,26,116244.14,95145.14,1,2,7
332,663.0,44,11728.6,14468.180000000002,1,2,2
333,584.0,3,11213.81,177772.3,1,1,8
336,659.0,32,15923.74,174652.51,1,1,3
339,716.0,39,11531.31,43527.4,1,1,1
340,642.0,4,12952.49,8699.23,1,1,6
346,63.0,34,16937.5,138275.1,1,1,9
347,643.0,59,17331.37,32171.79,1,2,3
348,654.0,32,11451.85,126143.22999999998,1,1,1
361,643.0,45,15842.93,2319.96,1,1,2
363,443.0,29,9927.61,194.4,1,1,9
366,54.0,42,87271.41,172572.64,1,1,9
367,46.0,35,12742.91,189339.6,1,1,8
368,636.0,34,415.51,53512.16,1,2,2
371,64.0,75,1637.91,113428.77,1,1,1
372,611.0,31,17884.81,183487.98,1,2,4
373,82.0,31,12513.72,187658.9,1,2,1
374,717.0,35,58469.37,172459.39,1,2,7
376,745.0,45,117231.63,122381.2,1,2,1
382,492.0,3,77168.87,1467.22,1,1,1
383,79.0,28,124695.72,145251.35,1,2,8
384,75.0,44,15934.960000000001,82463.69,1,2,3
390,712.0,29,147199.7,84932.4,1,1,7
391,752.0,38,18312.29,71557.12,1,2,3
395,645.0,37,136925.9,1534.24,1,1,2
397,547.0,32,155726.85,67789.99,1,2,8
401,593.0,38,129499.42,15471.27,1,1,4
408,668.0,37,152958.29,159585.61,1,2,1
409,537.0,41,13836.34,16761.47,1,1,3
413,693.0,41,181461.48,187929.43,1,1,9
416,487.0,61,11368.3,11384.45,1,1,5
420,756.0,6,115924.89,93524.19,1,1,3
422,535.0,4,111756.5,8128.32,1,2,7
426,492.0,39,124576.65000000001,148584.61,1,2,1
428,485.99999999999994,4,7134.9,76192.21,1,1,9
429,568.0,4,99282.63,1346.94,1,2,1
430,619.0,57,137946.39,72467.99,1,2,3
431,724.0,41,127892.57,199645.45,1,2,2
432,548.0,33,1184.36,42749.85,1,1,4
433,545.0,37,114754.79999999999,1365.44,1,1,8
436,627.0,3,79871.2,129826.89,1,1,4
439,464.0,42,85679.25,16414.74,1,1,3
450,493.99999999999994,38,174937.64,484.32,1,1,7
458,514.0,42,95556.31,199273.98,1,2,1
460,468.0,29,111681.98,195711.16,1,2,1
467,816.0,38,13878.75,7195.770000000001,1,1,5
475,621.0,46,14178.369999999999,3458.8,1,2,3
476,65.0,31,117992.59000000001,183598.77,1,1,1
483,485.99999999999994,37,115217.99,144995.33,1,2,9
489,714.0,55,1875.2200000000005,1127.71,1,1,9
495,765.0,36,9231.54,72924.56,1,2,8
498,757.0,26,121581.56,12759.4,1,2,8
506,691.0,3,116927.89,21198.39,1,2,7
507,684.0,4,137326.65,186976.6,1,1,6
510,524.0,31,67238.98,161811.23,1,1,1
511,632.0,38,86569.76,989.9100000000001,1,1,6
517,779.0,37,1292.52,135925.72,1,2,7
523,696.0,32,1116.99,115916.54999999999,1,2,8
528,572.0,48,152827.99,38411.79,1,1,3
536,639.0,35,128173.9,5993.39,1,2,1
538,564.0,62,114931.35,1826.98,1,1,5
539,745.0,28,11171.36,73275.96,1,1,1
547,479.0,3,143964.36,41879.99,1,1,7
550,721.0,36,65253.7,28737.78,1,1,3
551,674.0,47,1691.94,279.2,1,2,6
554,574.0,33,129834.67,193131.42,1,2,3
556,587.0,4,138241.9,159418.1,1,2,5
557,598.0,41,91536.93,191468.78,1,2,3
560,584.0,29,1524.1,13849.3,1,1,7
568,737.0,31,121192.22,7489.58,1,2,5
583,547.0,3,72392.41,7777.140000000001,1,1,9
584,647.0,51,119741.77,54954.51,1,1,1
590,713.0,38,14466.219999999998,56594.36,1,1,7
595,611.0,41,11426.84,16461.6,1,1,2
597,646.0,39,111574.41,3838.51,1,2,9
598,683.0,57,162448.69,9221.78,1,1,5
599,484.0,34,148249.54,33738.27,1,1,4
609,698.0,51,11118.98,8641.28,1,1,2
614,688.0,26,146133.39,175296.76,1,2,8
617,612.0,62,14745.33,193437.89,1,1,8
622,535.0,53,141616.55,75888.65,1,1,5
623,678.0,36,145747.67,89566.74,1,2,3
631,583.0,54,115988.86,57553.98,1,1,6
633,54.0,44,164113.4,1212.79,1,2,3
643,66.0,39,135134.99,173683.0,1,1,5
653,459.0,48,133994.52,19287.6,1,2,4
655,498.0,25,12172.73,13221.49,1,2,6
657,61.00000000000001,54,13139.97,199661.5,1,1,1
660,632.0,41,81877.38,33642.21,1,1,3
670,624.0,48,122388.38,32.9,1,1,3
677,739.0,45,1273.62,14782.940000000002,1,2,7
682,651.0,41,133432.59,15133.480000000001,1,1,4
683,749.0,4,141782.57,86333.63,1,1,8
687,769.0,45,126674.81000000001,124118.71000000002,1,1,5
690,716.0,27,122552.34,67611.36,1,2,1
692,745.0,36,14571.239999999998,678.46,1,2,8
697,543.0,57,16138.33,12657.32,1,1,1
699,742.0,33,181656.51,17667.91,1,2,5
704,659.0,36,7619.48,14966.140000000001,1,2,2
705,75.0,4,168286.81,2451.99,1,2,5
706,626.0,35,8819.81,32825.5,1,2,4
711,634.0,35,116269.09999999999,129964.94000000002,1,2,6
716,554.0,37,58629.97,18238.6,1,1,4
733,738.0,42,121152.50000000001,64166.69999999999,1,2,9
734,545.0,6,128981.7,176924.21,1,1,7
749,46.0,46,127559.96999999999,126952.50000000001,1,2,4
751,758.0,47,95523.16,73294.48,1,1,9
753,815.0,37,11777.26,2383.59,1,2,2
756,664.0,36,12716.78,7814.75,1,1,2
762,663.0,36,77253.5,35817.97,1,1,6
763,742.0,21,114292.48,3152.4,1,1,1
764,71.0,42,148.32,15798.190000000002,1,2,2
767,72.0,6,11592.62,157552.8,1,2,9
770,742.0,36,129748.54,47271.61,1,1,2
774,636.0,49,113599.74000000002,158887.9,1,2,6
776,622.0,58,116922.24999999999,12415.61,1,1,7
784,747.0,58,116313.56999999999,19696.35,1,2,7
787,714.0,42,17764.9,47166.55,1,2,2
792,85.0,48,111962.99,111755.8,1,1,6
793,743.0,34,131736.88,18543.21,1,1,1
795,761.0,36,18239.11,99444.2,1,2,8
797,488.00000000000006,32,11454.38,92568.7,1,2,3
799,61.00000000000001,42,133636.16,13315.74,1,1,9
801,671.0,44,84745.3,34673.98,1,1,3
802,614.0,31,12599.38,46163.44,1,1,7
808,598.0,53,167772.96,136886.86,1,2,1
813,421.0,28,122384.22000000002,8917.38,1,2,8
817,58.0,42,123331.36,13516.8,1,1,2
820,659.0,36,132578.92,8432.94,1,2,4
825,464.0,33,164284.72,371.34,1,2,8
828,63.0,31,112373.49,131167.98,1,1,2
832,732.0,29,154333.82,138527.56,1,1,1
833,634.0,37,111432.77,16732.49,1,2,3
837,686.0,56,111642.8,8553.87,1,1,5
840,732.0,5,145338.76,91936.1,1,2,6
842,66.0,35,58641.43,198674.8,1,2,8
846,714.0,21,8642.52,2733.59,1,2,6
850,646.0,46,17826.55,4541.32,1,2,1
851,667.0,48,97133.92,113316.77000000002,1,1,1
852,510.99999999999994,41,153895.65,3987.42,1,1,8
856,567.0,49,134956.2,93953.84,1,1,5
865,678.0,25,76968.12,13151.72,1,1,1
868,63.0,44,18122.39,18488.33,1,2,6
871,629.0,45,129818.38999999998,9217.55,1,1,7
876,52.0,32,17334.83,122763.95000000001,1,1,1
888,733.0,74,16545.53,134589.58,1,2,3
891,435.00000000000006,32,5717.6,597.11,1,2,2
894,728.0,35,125884.95000000001,54359.2,1,1,8
895,728.0,32,61825.49999999999,156124.93,1,2,5
899,657.0,25,17177.55,22745.5,1,2,2
900,727.0,4,9351.64,71865.31,1,2,1
913,756.0,27,131899.0,9332.29,1,2,1
923,572.0,19,138657.8,16161.82,1,1,1
925,714.0,36,1169.1,447.73,1,1,1
927,639.0,38,1317.82,149599.62,1,2,5
928,52.0,61,13382.29,934.1,1,2,8
931,564.0,41,13522.75,34338.21,1,2,9
932,78.0,42,19239.52,823.36,1,1,8
937,85.0,44,12865.32,17196.2,1,1,5
943,675.0,29,121326.42,133457.52,1,1,8
951,789.0,33,15167.56,4389.4,1,2,8
952,571.0,66,111577.1,189271.9,1,1,9
960,85.0,31,18822.4,132173.31,1,1,1
964,683.0,42,115888.39999999998,117349.19,1,1,4
969,649.0,6,116854.71,17125.79,1,2,9
972,635.0,42,78992.75,153265.31,1,2,5
981,749.0,44,71497.79,15183.8,1,1,3
983,614.0,35,1281.28,69454.24,1,1,6
