,credit_score,age,balance,estimated_salary,country,gender,tenure
1,68.0,41,8387.86,112542.57999999999,2,1,1
4,85.0,42,12551.82,7984.100000000001,2,1,2
5,645.0,44,113755.77999999998,149756.71,2,2,8
11,496.99999999999994,24,110880.018,7639.1,2,2,3
14,635.0,35,85306.44600000001,65951.65,2,1,7
17,549.0,24,123316.81399999998,1446.41,2,1,9
18,587.0,45,86500.534,158684.81,2,2,6
21,636.0,32,56011.796,138555.46,2,1,8
22,51.0,38,343198.956,118913.53000000001,2,1,4
30,591.0,39,94538.30199999998,14469.379999999997,2,1,3
33,52.0,42,62454.14599999999,3441.55,2,1,6
34,722.0,29,143684.84,14233.699999999999,2,1,9
36,49.0,31,14526.23,11466.77,2,2,3
37,84.0,33,76548.6,98453.45,2,2,7
40,471.99999999999994,4,62135.37399999999,7154.220000000001,2,2,4
44,66.0,61,155931.11,158338.39,2,1,5
58,510.99999999999994,66,47533.67600000001,1643.11,2,1,4
62,500.79999999999995,33,5684.69,178798.13,2,2,1
63,684.0,56,7877.16,99398.36,2,2,8
72,657.0,37,16367.179999999998,4423.55,2,1,4
78,757.0,33,77253.22,194239.63,2,2,5
85,652.0,75,59035.859999999986,114675.75,2,1,1
86,75.0,22,121681.82,128643.34999999999,2,2,3
90,647.0,44,98298.24599999998,17425.22,2,1,5
94,73.0,42,55055.962000000014,85982.47,2,2,4
95,515.0,35,176273.95,121277.77999999998,2,2,1
96,773.0,41,12827.44,64595.25,2,2,9
98,71.0,22,129669.346,99645.4,2,2,8
103,528.0,36,60781.181999999986,6536.56,2,2,7
104,67.0,65,45732.596,177655.68,2,1,1
105,622.0,46,1773.2700000000004,3984.5900000000006,2,1,4
108,65.0,33,1592.8,71862.79,2,2,5
113,675.0,36,1619.55,22994.32,2,2,9
121,674.0,39,12193.42,113.95,2,2,6
138,584.0,48,213146.2,75161.25,2,1,2
139,579.0,35,12949.36,859.83,2,1,1
143,793.0,52,69806.06799999998,159123.82,2,2,2
145,485.0,21,113157.21999999999,54141.5,2,1,5
146,635.0,29,138296.94,14175.509999999998,2,1,8
150,754.0,32,77246.902,8952.75,2,1,7
152,716.0,42,91697.652,188.42,2,2,8
155,76.0,57,42299.926,17941.16,2,2,7
157,586.0,28,27363.946000000004,9267.35,2,1,2
160,717.0,22,116.25,84699.56,2,1,6
163,721.0,36,30734.88,16977.8,2,1,2
164,683.0,29,13372.89,55582.54,2,2,5
167,615.0,41,1913.2300000000002,196499.96,2,1,9
168,667.0,39,30734.879999999997,4721.24,2,1,2
175,484.0,35,133868.21,27286.1,2,1,7
178,597.0,4,11993.12,94774.12,2,1,8
180,85.0,45,122311.21,19482.5,2,1,2
187,525.0,37,61716.515999999996,131521.72,2,1,6
188,616.0,3,82422.12399999998,19618.51,2,2,5
194,58.0,29,6171.44,12877.8,2,2,9
196,616.0,32,55289.659999999996,431.46,2,1,6
200,85.0,3,1414.1,5978.2,2,2,2
202,516.0,5,65130.61800000001,146145.93,2,2,5
